bubble,client,epochs,mae,mase,num_samples,rmse,round,smape,stage,strategy,train_samples,wmape
0,CA_3_HOUSEHOLD_2,,8.383686065673828,3.1123836040496826,2696,11.826181411743164,1,52.991318702697754,federated,Global FedAvg,13081,0.44242993263933245
0,CA_4_FOODS_1,,13.832930564880371,3.4057226181030273,2450,17.72037696838379,1,29.340186715126038,federated,Global FedAvg,11935,0.2646427487271584
0,CA_4_FOODS_2,,9.360105514526367,2.6864545345306396,2643,12.2128324508667,1,42.13531017303467,federated,Global FedAvg,12837,0.29445293530395467
0,CA_4_FOODS_3,,27.453760147094727,3.965790271759033,2720,37.557918548583984,1,57.319676876068115,federated,Global FedAvg,13200,0.3937039745796461
0,CA_4_HOBBIES_1,,14.778580665588379,2.4337918758392334,2649,19.429441452026367,1,34.815430641174316,federated,Global FedAvg,12860,0.31846140842346715
0,CA_4_HOBBIES_2,,2.0626728534698486,3.8331797122955322,2567,4.1274094581604,1,112.60010004043579,federated,Global FedAvg,12478,0.7633911977578743
0,CA_4_HOUSEHOLD_1,,6.36635160446167,2.835646152496338,2470,8.19771957397461,1,37.87217736244202,federated,Global FedAvg,12028,0.3178735909735758
0,CA_4_HOUSEHOLD_2,,4.369770050048828,3.5659258365631104,2547,10.131034851074219,1,69.02720928192139,federated,Global FedAvg,12391,0.4469262613940301
0,TX_1_FOODS_1,,16.981042861938477,3.9846057891845703,2375,23.63377571105957,1,57.89152383804321,federated,Global FedAvg,11577,0.45482713133375574
0,TX_1_FOODS_2,,14.47211742401123,3.2476022243499756,2720,20.648338317871094,1,47.036850452423096,federated,Global FedAvg,13200,0.3751861927415077
0,TX_1_FOODS_3,,42.02496337890625,3.4473023414611816,2670,63.657386779785156,1,26.0238379240036,federated,Global FedAvg,12965,0.22310768631965291
0,TX_1_HOBBIES_1,,11.036602020263672,2.8376762866973877,2720,15.112768173217773,1,57.47728943824768,federated,Global FedAvg,13200,0.47318857900443356
0,TX_1_HOBBIES_2,,4.103168487548828,4.793587684631348,2660,6.657505512237549,1,92.76037812232971,federated,Global FedAvg,12915,0.6384946609552249
0,TX_1_HOUSEHOLD_1,,17.52625846862793,2.7596333026885986,2454,22.258501052856445,1,36.114856600761414,federated,Global FedAvg,11949,0.33098695197122346
0,TX_1_HOUSEHOLD_2,,12.667603492736816,7.525752067565918,2308,31.043563842773438,1,60.56985259056091,federated,Global FedAvg,11268,0.6327359085202172
0,TX_2_FOODS_1,,17.18984603881836,2.7098710536956787,2521,21.80576515197754,1,57.780176401138306,federated,Global FedAvg,12263,0.4041105361255533
0,TX_2_FOODS_2,,15.608685493469238,2.680933713912964,2720,20.44913673400879,1,53.21090817451477,federated,Global FedAvg,13200,0.3516634500695488
0,TX_2_FOODS_3,,61.645042419433594,4.387073040008545,2720,91.61808013916016,1,30.424585938453674,federated,Global FedAvg,13200,0.23539707797221365
0,TX_2_HOBBIES_1,,10.500545501708984,2.1994240283966064,2720,13.44758415222168,1,45.06869912147522,federated,Global FedAvg,13200,0.4019008298623249
0,TX_2_HOBBIES_2,,5.528458595275879,3.04113507270813,2658,8.706279754638672,1,81.87748193740845,federated,Global FedAvg,12911,0.6604036932325916
0,TX_2_HOUSEHOLD_1,,26.682907104492188,3.6081676483154297,2504,34.74500274658203,1,56.523919105529785,federated,Global FedAvg,12184,0.5111542934083703
0,TX_2_HOUSEHOLD_2,,4.3699774742126465,2.772531509399414,2624,6.029865741729736,1,44.51352655887604,federated,Global FedAvg,12749,0.3809954908814397
0,TX_3_FOODS_1,,27.336957931518555,5.731882572174072,2528,44.50316619873047,1,48.69588613510132,federated,Global FedAvg,12293,0.4106472643947703
0,TX_3_FOODS_2,,15.323286056518555,2.5481083393096924,2714,21.147912979125977,1,51.37187838554382,federated,Global FedAvg,13170,0.3470504163154487
0,TX_3_FOODS_3,,55.076515197753906,4.403225421905518,2720,78.0435791015625,1,29.99092936515808,federated,Global FedAvg,13200,0.22514705904454116
0,TX_3_HOBBIES_1,,19.39236068725586,4.472293853759766,2361,34.295013427734375,1,47.36389517784119,federated,Global FedAvg,11524,0.47566243435469213
0,TX_3_HOBBIES_2,,4.980470180511475,3.63223934173584,2651,8.931138038635254,1,119.87266540527344,federated,Global FedAvg,12876,0.7043599126429958
