bubble,client,epochs,num_samples,rmse,round,smape,stage,strategy,train_samples
0,WI_1_HOUSEHOLD_2,,2101,4.888157367706299,1,41.764017939567566,federated,Global FedAvg,10308
0,WI_2_FOODS_1,,2494,68.85487365722656,1,48.454973101615906,federated,Global FedAvg,12135
0,WI_2_FOODS_2,,2409,79.92342376708984,1,68.32115054130554,federated,Global FedAvg,11738
0,WI_2_FOODS_3,,2712,101.17840576171875,1,64.62809443473816,federated,Global FedAvg,13161
0,WI_2_HOBBIES_1,,2681,11.200584411621094,1,40.516966581344604,federated,Global FedAvg,13013
0,WI_2_HOBBIES_2,,2539,8.330338478088379,1,97.36912846565247,federated,Global FedAvg,12352
0,WI_2_HOUSEHOLD_1,,2114,38.10272979736328,1,39.30690884590149,federated,Global FedAvg,10348
0,WI_2_HOUSEHOLD_2,,2283,9.472664833068848,1,41.70771837234497,federated,Global FedAvg,11145
0,WI_3_FOODS_1,,2568,31.474945068359375,1,50.706881284713745,federated,Global FedAvg,12483
0,WI_3_FOODS_2,,2672,26.178491592407227,1,58.872830867767334,federated,Global FedAvg,12974
0,WI_3_FOODS_3,,2659,80.0994644165039,1,27.922675013542175,federated,Global FedAvg,12916
0,WI_3_HOBBIES_1,,2720,12.411426544189453,1,40.866485238075256,federated,Global FedAvg,13200
0,WI_3_HOBBIES_2,,2718,4.2459845542907715,1,110.7778787612915,federated,Global FedAvg,13190
0,WI_3_HOUSEHOLD_1,,2436,17.88134765625,1,27.06492841243744,federated,Global FedAvg,11865
0,WI_3_HOUSEHOLD_2,,2608,9.890631675720215,1,55.46591281890869,federated,Global FedAvg,12670
0,CA_1_FOODS_1,,2506,24.22395133972168,2,50.8872926235199,federated,Global FedAvg,12195
0,CA_1_FOODS_2,,2720,21.320598602294922,2,48.55675995349884,federated,Global FedAvg,13200
0,CA_1_FOODS_3,,2670,73.28352355957031,2,47.89223372936249,federated,Global FedAvg,12965
0,CA_1_HOBBIES_1,,2707,25.853778839111328,2,40.80595374107361,federated,Global FedAvg,13136
0,CA_1_HOBBIES_2,,2482,7.124368667602539,2,88.12195658683777,federated,Global FedAvg,12087
